hole_cards,preflop_action,position,sample_hand_strength,position_processed,preflop_action_processed
"('Js', 'Qd')",F,CO,0.195,2,0
"('5d', 'Ad')",R,SB,0.155,4,1
"('8d', 'Ac')",F,EP,0.165,0,0
"('Ah', 'Ac')",R,MP,0.005,1,1
"('Ks', 'Qs')",R,MP,0.07,1,1
"('Jc', 'Ac')",R,EP,0.055,0,1
"('7s', '7d')",F,EP,0.055,0,0
"('As', 'Kh')",R,MP,0.05,1,1
"('4s', 'As')",R,SB,0.17,4,1
"('7h', 'Kh')",F,EP,0.21,0,0
"('8s', 'Ad')",F,MP,0.165,1,0
"('Ad', 'Jc')",R,MP,0.08,1,1
"('As', '9d')",F,MP,0.145,1,0
"('Td', 'Tc')",R,MP,0.025,1,1
"('Kc', 'As')",R,MP,0.05,1,1
"('Qd', 'Jh')",R,MP,0.195,1,1
"('Tc', 'Th')",R,MP,0.025,1,1
"('Kd', 'Jd')",F,MP,0.085,1,0
"('As', '5s')",F,MP,0.155,1,0
"('As', '7h')",F,SB,0.2,4,0
"('Ah', 'Ts')",F,MP,0.105,1,0
"('Td', 'Kd')",R,MP,0.1,1,1
"('Ks', 'Qh')",F,SB,0.115,4,0
"('6s', '6h')",R,SB,0.09,4,1
"('Ks', '8s')",F,BTN,0.18,3,0
"('Th', 'Ad')",F,CO,0.105,2,0
"('Ah', '3h')",R,MP,0.205,1,1
"('9d', 'Qd')",F,BTN,0.185,3,0
"('7h', 'Ad')",F,MP,0.2,1,0
"('9h', 'Ah')",F,MP,0.085,1,0
"('9h', 'As')",F,MP,0.145,1,0
"('Kd', '8d')",R,MP,0.18,1,1
"('Kc', 'Js')",R,SB,0.14,4,1
"('Ts', 'Ac')",F,CO,0.105,2,0
"('Ah', 'Ad')",R,SB,0.005,4,1
"('Qd', 'As')",F,CO,0.07,2,0
"('Ks', 'Jc')",F,EP,0.14,0,0
"('Ks', 'Td')",R,SB,0.175,4,1
"('Th', 'As')",F,EP,0.105,0,0
"('As', 'Tc')",R,BTN,0.105,3,1
"('Qc', 'Ks')",R,BTN,0.115,3,1
"('8d', '8s')",R,MP,0.035,1,1
"('8d', 'As')",F,MP,0.165,1,0
"('8c', 'Ad')",F,EP,0.165,0,0
"('9s', 'Ks')",R,MP,0.145,1,1
"('6s', 'As')",F,MP,0.155,1,0
"('Th', 'Kd')",F,MP,0.175,1,0
"('Jd', 'Td')",F,CO,0.21,2,0
"('Qh', 'Kc')",F,MP,0.115,1,0
"('Ah', '9d')",F,MP,0.145,1,0
"('Kd', 'Jc')",F,BTN,0.14,3,0
"('Qd', 'Kd')",R,SB,0.07,4,1
"('Qd', 'Kh')",R,MP,0.115,1,1
"('Kc', 'Tc')",R,MP,0.1,1,1
"('Ks', 'Tc')",R,BTN,0.175,3,1
"('Qh', 'Kd')",R,MP,0.115,1,1
"('As', 'Td')",R,MP,0.105,1,1
"('Jd', 'Td')",R,BTN,0.21,3,1
"('2s', 'As')",R,BTN,0.215,3,1
"('Qc', 'Ac')",R,BTN,0.04,3,1
"('9d', 'Qd')",R,MP,0.185,1,1
"('5s', '5c')",R,MP,0.145,1,1
"('Ts', 'Kd')",F,BTN,0.175,3,0
"('As', '8d')",F,SB,0.165,4,0
"('Ad', 'Jd')",F,MP,0.055,1,0
"('8c', '8s')",F,MP,0.035,1,0
"('Qs', 'Js')",F,MP,0.12,1,0
"('5d', '5c')",R,MP,0.145,1,1
"('Qs', 'Ah')",R,CO,0.07,2,1
"('Kc', 'Ac')",R,CO,0.035,2,1
"('Ac', '9d')",F,EP,0.145,0,0
"('Ah', 'Td')",F,MP,0.105,1,0
"('5c', 'Ac')",R,CO,0.155,2,1
"('Ah', 'Th')",R,CO,0.06,2,1
"('7c', 'Kc')",R,BTN,0.21,3,1
"('9s', '9c')",R,SB,0.03,4,1
"('Ks', 'Qs')",R,EP,0.07,0,1
"('Ah', 'Qc')",R,BTN,0.07,3,1
"('6d', '6c')",F,EP,0.09,0,0
"('8d', 'Ad')",R,EP,0.105,0,1
"('Ad', 'Qs')",R,BTN,0.07,3,1
"('Qh', 'Qs')",R,EP,0.015,0,1
"('Kd', 'Th')",F,EP,0.175,0,0
"('5s', '5c')",R,CO,0.145,2,1
"('7c', 'Ad')",F,BTN,0.2,3,0
"('As', 'Ts')",R,BTN,0.06,3,1
"('Ks', 'Th')",F,MP,0.175,1,0
"('Ad', '8h')",R,SB,0.165,4,1
"('Ad', '5d')",F,BTN,0.155,3,0
"('9d', 'As')",F,EP,0.145,0,0
"('As', 'Qc')",F,BTN,0.07,3,0
"('Jh', 'Jd')",R,EP,0.02,0,1
"('Ts', 'Ac')",F,BTN,0.105,3,0
"('3d', 'Ad')",R,MP,0.205,1,1
"('Qs', 'As')",R,MP,0.04,1,1
"('As', '3s')",F,CO,0.205,2,0
"('As', '4s')",R,SB,0.17,4,1
"('Qc', '9c')",F,SB,0.185,4,0
"('9h', 'Qh')",R,MP,0.185,1,1
"('Ad', '7d')",F,BTN,0.12,3,0
"('Ad', 'Ts')",R,MP,0.105,1,1
"('Th', 'Kh')",R,MP,0.1,1,1
"('Ks', 'Jd')",R,MP,0.14,1,1
"('Th', 'Jh')",R,BTN,0.21,3,1
"('Ah', 'Qd')",F,SB,0.07,4,0
"('9c', '9h')",R,BTN,0.03,3,1
"('Qh', 'As')",R,BTN,0.07,3,1
"('Js', 'Qd')",F,SB,0.195,4,0
"('Ad', '3d')",F,MP,0.205,1,0
"('Js', 'Qs')",F,MP,0.12,1,0
"('Ah', 'Qd')",R,SB,0.07,4,1
"('Ks', 'Kc')",R,MP,0.01,1,1
"('Jh', 'Ac')",R,MP,0.08,1,1
"('Jd', 'Qh')",F,MP,0.195,1,0
"('Ks', 'Qc')",R,MP,0.115,1,1
"('Ah', 'Ts')",F,CO,0.105,2,0
"('Tc', 'Ad')",R,SB,0.105,4,1
"('8s', 'As')",R,SB,0.105,4,1
"('Ac', '8h')",F,SB,0.165,4,0
"('7c', 'As')",F,CO,0.2,2,0
"('As', '6s')",F,MP,0.155,1,0
"('Ah', 'Kh')",R,MP,0.035,1,1
"('Td', 'Kd')",F,MP,0.1,1,0
"('Kh', '7h')",F,EP,0.21,0,0
"('Ts', 'Js')",F,MP,0.21,1,0
"('Kh', 'Qc')",F,BTN,0.115,3,0
"('6d', '6c')",F,CO,0.09,2,0
"('Ah', 'Jc')",R,MP,0.08,1,1
"('2h', 'Ah')",R,MP,0.215,1,1
"('Qh', 'Js')",F,MP,0.195,1,0
"('Qs', 'Kd')",F,MP,0.115,1,0
"('Js', 'Kh')",F,BTN,0.14,3,0
"('Th', 'Ks')",F,SB,0.175,4,0
"('Td', 'Th')",R,SB,0.025,4,1
"('Ad', 'Th')",R,BTN,0.105,3,1
"('Kc', 'Jh')",R,SB,0.14,4,1
"('7h', '7d')",F,BTN,0.055,3,0
"('Kc', 'Kd')",R,SB,0.01,4,1
"('Td', 'Kh')",F,BTN,0.175,3,0
"('Qc', '9c')",F,MP,0.185,1,0
"('Ac', 'Ts')",R,BTN,0.105,3,1
"('Ac', '9d')",F,MP,0.145,1,0
"('Kh', 'Ts')",F,MP,0.175,1,0
"('Ad', '7h')",R,SB,0.2,4,1
"('Ah', '9h')",R,SB,0.085,4,1
"('2c', 'Ac')",R,EP,0.215,0,1
"('Jc', 'Qd')",F,EP,0.195,0,0
"('Qc', 'Kh')",F,EP,0.115,0,0
"('8c', 'Ah')",F,MP,0.165,1,0
"('Jc', 'Tc')",R,BTN,0.21,3,1
"('Qs', 'Ad')",R,CO,0.07,2,1
"('Ks', 'Ah')",R,BTN,0.05,3,1
"('5h', '5c')",R,EP,0.145,0,1
"('Js', 'Kd')",F,MP,0.14,1,0
"('Ad', '8c')",R,BTN,0.165,3,1
"('As', '8c')",F,MP,0.165,1,0
"('Qs', 'Ts')",R,MP,0.15,1,1
"('Qc', 'Kh')",F,EP,0.115,0,0
"('8d', '8h')",F,MP,0.035,1,0
"('Qd', 'Ad')",R,BTN,0.04,3,1
"('Ks', 'Jh')",F,MP,0.14,1,0
"('Qh', 'Qs')",R,MP,0.015,1,1
"('Kc', 'Qs')",R,EP,0.115,0,1
"('Ah', 'Ts')",F,MP,0.105,1,0
"('9s', 'Ah')",F,CO,0.145,2,0
"('Jc', 'Ac')",R,MP,0.055,1,1
"('Ts', 'Th')",R,SB,0.025,4,1
"('9h', '9c')",R,MP,0.03,1,1
"('4c', 'Ac')",R,EP,0.17,0,1
"('8h', 'Ad')",F,MP,0.165,1,0
"('8h', 'Ah')",F,MP,0.105,1,0
"('Kd', 'Jc')",R,SB,0.14,4,1
"('Jd', 'Ad')",F,EP,0.055,0,0
"('7d', 'Ac')",F,BTN,0.2,3,0
"('Tc', 'Ad')",R,SB,0.105,4,1
"('Ad', 'Th')",R,SB,0.105,4,1
"('Jh', 'Ah')",R,EP,0.055,0,1
"('8s', 'As')",R,EP,0.105,0,1
"('8s', 'Ah')",F,MP,0.165,1,0
"('Kh', 'Tc')",F,BTN,0.175,3,0
"('Qd', 'Qc')",R,BTN,0.015,3,1
"('Td', 'Th')",R,BTN,0.025,3,1
"('7c', '7d')",F,EP,0.055,0,0
"('9c', 'Kc')",R,EP,0.145,0,1
"('Js', 'Ah')",R,BTN,0.08,3,1
"('Kd', 'Ah')",R,SB,0.05,4,1
"('As', 'Jh')",R,SB,0.08,4,1
"('7s', '7c')",F,BTN,0.055,3,0
"('Ah', '7h')",R,BTN,0.12,3,1
"('Kd', 'Qc')",R,SB,0.115,4,1
"('9h', 'As')",F,CO,0.145,2,0
"('Qc', 'Jh')",F,BTN,0.195,3,0
"('Jd', 'Ac')",F,EP,0.08,0,0
"('9s', 'As')",R,CO,0.085,2,1
"('Ks', 'Td')",R,BTN,0.175,3,1
"('Ad', '4d')",F,EP,0.17,0,0
"('Kd', 'Qc')",R,SB,0.115,4,1
"('Ac', 'Th')",R,SB,0.105,4,1
"('Qc', 'Ad')",F,CO,0.07,2,0
"('3c', 'Ac')",R,BTN,0.205,3,1
"('Kd', '8d')",R,BTN,0.18,3,1
"('As', 'Td')",F,EP,0.105,0,0
"('Kh', 'Ac')",R,MP,0.05,1,1
"('Ac', 'Ts')",R,SB,0.105,4,1
"('Ts', 'Kd')",F,MP,0.175,1,0
"('Td', 'As')",F,EP,0.105,0,0
"('Kc', 'Qc')",R,BTN,0.07,3,1
"('Td', 'Ks')",F,BTN,0.175,3,0
"('8s', 'Ks')",F,EP,0.18,0,0
"('8s', '8d')",F,SB,0.035,4,0
"('9c', 'Kc')",F,CO,0.145,2,0
"('Ah', '8c')",F,MP,0.165,1,0
"('As', 'Jd')",F,CO,0.08,2,0
"('Kc', '8c')",F,MP,0.18,1,0
"('Kd', 'Qs')",F,BTN,0.115,3,0
"('Ks', '9s')",R,CO,0.145,2,1
"('Qh', 'Ac')",R,BTN,0.07,3,1
"('9s', '9d')",F,CO,0.03,2,0
"('9h', '9c')",R,EP,0.03,0,1
"('Jd', 'Qh')",R,BTN,0.195,3,1
"('Qc', 'Qh')",R,MP,0.015,1,1
"('Ad', '8d')",F,CO,0.105,2,0
"('Qs', 'Kh')",F,EP,0.115,0,0
"('6h', '6c')",R,MP,0.09,1,1
"('Kh', 'Ts')",R,CO,0.175,2,1
"('Qc', 'Qs')",R,CO,0.015,2,1
"('9s', '9c')",R,CO,0.03,2,1
"('Js', 'Kc')",F,MP,0.14,1,0
"('Kd', 'Qs')",R,BTN,0.115,3,1
"('Ac', '4c')",R,CO,0.17,2,1
"('As', '2s')",F,CO,0.215,2,0
"('2h', 'Ah')",F,CO,0.215,2,0
"('8s', '8c')",F,MP,0.035,1,0
"('Kh', 'Jd')",F,MP,0.14,1,0
"('6c', 'Ac')",R,SB,0.155,4,1
"('5s', '5c')",F,MP,0.145,1,0
"('Ac', '2c')",R,BTN,0.215,3,1
"('Ac', '9h')",F,MP,0.145,1,0
"('Ah', 'Qh')",R,SB,0.04,4,1
"('7c', 'Kc')",R,BTN,0.21,3,1
"('Kh', 'Ad')",F,MP,0.05,1,0
"('Kc', 'Td')",R,BTN,0.175,3,1
"('Qc', 'Jd')",F,MP,0.195,1,0
"('As', '3s')",F,MP,0.205,1,0
"('Qs', '9s')",R,MP,0.185,1,1
"('Qs', 'Jh')",F,CO,0.195,2,0
"('9h', 'Kh')",R,MP,0.145,1,1
"('Ac', 'Jc')",R,MP,0.055,1,1
"('Ac', 'Kc')",R,MP,0.035,1,1
"('Tc', 'Ks')",F,EP,0.175,0,0
"('8c', '8h')",R,EP,0.035,0,1
"('Ah', '8h')",R,SB,0.105,4,1
"('Kc', 'Jh')",F,CO,0.14,2,0
"('8c', '8s')",R,BTN,0.035,3,1
"('Ad', '7d')",F,MP,0.12,1,0
"('Ac', 'Ad')",R,EP,0.005,0,1
"('Qc', '9c')",F,BTN,0.185,3,0
"('Kh', 'Js')",F,MP,0.14,1,0
"('Tc', 'Ah')",F,EP,0.105,0,0
"('Jd', 'Ad')",R,SB,0.055,4,1
"('7s', 'As')",F,MP,0.12,1,0
"('As', 'Kd')",R,MP,0.05,1,1
"('Tc', 'Ts')",F,SB,0.025,4,0
"('Ac', 'Ah')",R,SB,0.005,4,1
"('6c', '6h')",F,EP,0.09,0,0
"('As', '9d')",F,EP,0.145,0,0
"('7h', '7s')",F,MP,0.055,1,0
"('5s', 'As')",R,SB,0.155,4,1
"('Js', 'Ah')",F,MP,0.08,1,0
"('6d', '6h')",R,SB,0.09,4,1
"('As', '6s')",R,MP,0.155,1,1
"('7c', 'Ah')",F,EP,0.2,0,0
"('8d', 'Kd')",R,SB,0.18,4,1
"('8h', 'Kh')",R,MP,0.18,1,1
"('Js', 'Jh')",R,CO,0.02,2,1
"('Ts', 'Qs')",R,BTN,0.15,3,1
"('Kh', 'Tc')",F,EP,0.175,0,0
"('8c', 'Ah')",F,MP,0.165,1,0
"('9s', 'Ad')",F,CO,0.145,2,0
"('Js', 'Jc')",R,MP,0.02,1,1
"('Kh', 'Qh')",R,BTN,0.07,3,1
"('9h', 'As')",F,MP,0.145,1,0
"('8s', 'Ac')",R,SB,0.165,4,1
"('Js', 'Ts')",R,BTN,0.21,3,1
"('7d', 'Ah')",F,EP,0.2,0,0
"('Tc', 'Td')",R,SB,0.025,4,1
"('Js', 'As')",F,BTN,0.055,3,0
"('Kd', '8d')",F,MP,0.18,1,0
"('9d', 'Ac')",R,BTN,0.145,3,1
"('Ac', '9d')",F,MP,0.145,1,0
"('Ac', '9h')",F,MP,0.145,1,0
"('Qs', 'Ah')",R,BTN,0.07,3,1
"('Ad', 'Kd')",R,BTN,0.035,3,1
"('6h', '6s')",F,CO,0.09,2,0
"('9d', 'Kd')",F,MP,0.145,1,0
"('As', '2s')",F,BTN,0.215,3,0
"('Ks', 'Th')",F,CO,0.175,2,0
"('As', 'Ts')",R,CO,0.06,2,1
"('Ah', '7d')",F,MP,0.2,1,0
"('Kd', '8d')",F,MP,0.18,1,0
"('Qc', 'Ks')",F,MP,0.115,1,0
"('Ah', 'Ad')",R,MP,0.005,1,1
"('Jh', 'Ac')",R,CO,0.08,2,1
"('8c', '8d')",F,MP,0.035,1,0
"('Kc', 'Qh')",F,EP,0.115,0,0
"('Qd', 'Td')",F,MP,0.15,1,0
"('Ad', '7h')",F,EP,0.2,0,0
"('Qd', 'Ah')",R,SB,0.07,4,1
"('Jd', 'As')",R,SB,0.08,4,1
"('Td', 'Kh')",R,BTN,0.175,3,1
"('Kc', 'As')",R,MP,0.05,1,1
"('Ah', '5h')",R,SB,0.155,4,1
"('Kh', 'Jh')",R,SB,0.085,4,1
"('Th', 'Tc')",F,EP,0.025,0,0
"('Js', 'Qc')",F,BTN,0.195,3,0
"('Th', 'Kd')",F,MP,0.175,1,0
"('As', '9h')",F,BTN,0.145,3,0
"('Qd', 'Qc')",R,BTN,0.015,3,1
"('Ks', 'Td')",F,BTN,0.175,3,0
"('3h', 'Ah')",R,BTN,0.205,3,1
"('Ah', 'Jh')",R,MP,0.055,1,1
"('As', '7s')",R,CO,0.12,2,1
"('Qh', 'Qd')",R,SB,0.015,4,1
"('8h', 'Ad')",F,MP,0.165,1,0
"('Js', 'Kh')",F,EP,0.14,0,0
"('3c', 'Ac')",R,MP,0.205,1,1
"('Kd', 'Ah')",R,CO,0.05,2,1
"('7s', '7h')",R,MP,0.055,1,1
"('Ac', '2c')",R,BTN,0.215,3,1
"('Ad', 'Ts')",R,BTN,0.105,3,1
"('Kc', 'Qh')",R,MP,0.115,1,1
"('Kh', 'Js')",R,BTN,0.14,3,1
"('Kh', 'Kd')",R,MP,0.01,1,1
"('Js', 'Qh')",F,MP,0.195,1,0
"('Ah', 'Kd')",R,BTN,0.05,3,1
"('9c', 'Ad')",R,SB,0.145,4,1
"('Ts', 'As')",R,BTN,0.06,3,1
"('8h', 'As')",R,SB,0.165,4,1
"('As', '9s')",R,BTN,0.085,3,1
"('7h', '7d')",R,SB,0.055,4,1
"('Ah', 'Kc')",R,EP,0.05,0,1
"('Ad', '7s')",R,SB,0.2,4,1
"('8d', 'Kd')",R,BTN,0.18,3,1
"('As', '7c')",F,MP,0.2,1,0
"('Tc', 'Jc')",F,MP,0.21,1,0
"('8s', 'Ac')",F,BTN,0.165,3,0
"('Ac', 'Td')",F,MP,0.105,1,0
"('Ac', '8s')",R,BTN,0.165,3,1
"('Tc', 'Ts')",R,EP,0.025,0,1
"('Th', 'Ad')",R,MP,0.105,1,1
"('Kh', 'As')",R,MP,0.05,1,1
"('6c', '6s')",R,SB,0.09,4,1
"('As', 'Td')",F,EP,0.105,0,0
"('2c', 'Ac')",F,MP,0.215,1,0
"('Kh', 'Qd')",F,MP,0.115,1,0
"('Ts', 'Kh')",F,MP,0.175,1,0
"('9s', 'Ad')",F,BTN,0.145,3,0
"('Qd', 'As')",R,BTN,0.07,3,1
"('8s', '8c')",R,MP,0.035,1,1
"('As', 'Qh')",R,MP,0.07,1,1
"('Kh', '9h')",F,MP,0.145,1,0
"('Ac', '8h')",R,SB,0.165,4,1
"('Ac', '2c')",R,SB,0.215,4,1
"('9d', '9s')",R,BTN,0.03,3,1
"('Kh', 'Ts')",R,CO,0.175,2,1
"('3s', 'As')",F,CO,0.205,2,0
"('7d', '7h')",F,MP,0.055,1,0
"('9s', '9h')",R,EP,0.03,0,1
"('7s', 'Ah')",F,MP,0.2,1,0
"('Qc', 'Kd')",F,BTN,0.115,3,0
"('Th', 'Kc')",F,EP,0.175,0,0
"('Jc', 'Jd')",R,BTN,0.02,3,1
"('7h', 'Ac')",F,SB,0.2,4,0
"('Jh', 'Ac')",R,SB,0.08,4,1
"('Kd', 'Qc')",R,MP,0.115,1,1
"('Qd', 'Js')",F,MP,0.195,1,0
"('8d', '8s')",R,EP,0.035,0,1
"('Qc', 'Js')",F,MP,0.195,1,0
"('Th', 'Ah')",R,SB,0.06,4,1
"('Ah', '9s')",R,BTN,0.145,3,1
"('Qh', 'Jh')",R,BTN,0.12,3,1
"('Ah', '7h')",R,SB,0.12,4,1
"('6s', '6c')",R,BTN,0.09,3,1
"('Jc', 'Qc')",R,CO,0.12,2,1
"('As', 'Qd')",R,MP,0.07,1,1
"('9s', 'Ah')",R,BTN,0.145,3,1
"('Ks', 'Qd')",R,BTN,0.115,3,1
"('Tc', 'Kd')",R,MP,0.175,1,1
"('5h', '5s')",F,MP,0.145,1,0
"('6d', '6c')",F,MP,0.09,1,0
"('Ah', '7d')",F,EP,0.2,0,0
"('Ac', 'Kd')",R,CO,0.05,2,1
"('Td', 'Ad')",R,MP,0.06,1,1
"('7h', 'Kh')",R,BTN,0.21,3,1
"('7h', 'Kh')",F,MP,0.21,1,0
"('8s', '8h')",F,CO,0.035,2,0
"('Ac', '9c')",F,CO,0.085,2,0
"('Qh', 'Jc')",F,BTN,0.195,3,0
"('Ah', '7s')",F,EP,0.2,0,0
"('Ah', 'Kd')",R,MP,0.05,1,1
"('Js', 'Qh')",F,MP,0.195,1,0
"('Ad', '8h')",F,EP,0.165,0,0
"('Qc', 'Kh')",F,MP,0.115,1,0
"('Ad', 'Qh')",R,MP,0.07,1,1
"('9c', 'As')",F,MP,0.145,1,0
"('Ks', 'Jc')",F,EP,0.14,0,0
"('As', '6s')",F,EP,0.155,0,0
"('Ts', 'Kd')",R,CO,0.175,2,1
"('Ah', 'Jd')",R,BTN,0.08,3,1
"('8c', 'Kc')",F,BTN,0.18,3,0
"('Kc', '7c')",F,EP,0.21,0,0
"('5d', '5c')",F,MP,0.145,1,0
"('8h', '8s')",R,EP,0.035,0,1
"('As', '7s')",R,MP,0.12,1,1
"('As', 'Th')",F,CO,0.105,2,0
"('Qs', 'Ts')",F,EP,0.15,0,0
"('Ah', 'Qh')",R,EP,0.04,0,1
"('Ad', '7d')",R,MP,0.12,1,1
"('Ad', 'Kd')",R,SB,0.035,4,1
"('Ks', 'Ts')",F,EP,0.1,0,0
"('Qd', '9d')",F,MP,0.185,1,0
"('Ah', '8s')",F,EP,0.165,0,0
"('6c', 'Ac')",R,EP,0.155,0,1
"('Qc', 'Kc')",R,MP,0.07,1,1
"('Ad', '8s')",F,EP,0.165,0,0
"('Ac', '3c')",R,MP,0.205,1,1
"('Ac', 'Jh')",R,BTN,0.08,3,1
"('6h', '6s')",F,MP,0.09,1,0
"('Ac', 'Qs')",F,MP,0.07,1,0
"('9c', 'Ac')",R,MP,0.085,1,1
"('Kh', 'Ah')",R,BTN,0.035,3,1
"('8c', 'As')",F,EP,0.165,0,0
"('Kh', 'Tc')",F,MP,0.175,1,0
"('7s', '7d')",R,MP,0.055,1,1
"('Ad', '8h')",F,MP,0.165,1,0
"('Kd', 'Js')",R,MP,0.14,1,1
"('7c', '7h')",F,EP,0.055,0,0
"('Ks', 'Qd')",R,MP,0.115,1,1
"('5c', 'Ac')",F,EP,0.155,0,0
"('5h', '5s')",F,MP,0.145,1,0
"('Th', 'Ts')",R,BTN,0.025,3,1
"('Ah', '9h')",R,MP,0.085,1,1
"('9h', 'Qh')",R,SB,0.185,4,1
"('5c', '5s')",R,CO,0.145,2,1
"('As', '5s')",R,BTN,0.155,3,1
"('Ad', 'Ks')",F,EP,0.05,0,0
"('Jc', 'Kh')",F,MP,0.14,1,0
"('8h', 'Kh')",F,EP,0.18,0,0
"('Kd', 'Th')",F,MP,0.175,1,0
"('Ac', 'Td')",F,BTN,0.105,3,0
"('Ks', 'Jh')",F,MP,0.14,1,0
"('Tc', 'Th')",R,MP,0.025,1,1
"('Jc', 'Kd')",R,SB,0.14,4,1
"('8d', 'Kd')",F,EP,0.18,0,0
"('6s', 'As')",F,MP,0.155,1,0
"('Kd', 'Ts')",R,SB,0.175,4,1
"('Kd', 'Ks')",R,CO,0.01,2,1
"('Ad', 'Qs')",F,BTN,0.07,3,0
"('Kd', 'Kc')",R,MP,0.01,1,1
"('9h', 'Qh')",R,MP,0.185,1,1
"('Ah', 'Qh')",R,SB,0.04,4,1
"('5c', '5d')",F,MP,0.145,1,0
"('Kc', 'Ts')",F,MP,0.175,1,0
"('Ad', '9d')",F,BTN,0.085,3,0
"('9s', '9d')",F,CO,0.03,2,0
"('Kc', 'Qs')",F,CO,0.115,2,0
"('Kh', 'Qh')",R,BTN,0.07,3,1
"('7s', 'Ac')",F,MP,0.2,1,0
"('Jc', 'Qh')",R,BTN,0.195,3,1
"('Ah', 'Kd')",R,BTN,0.05,3,1
"('Th', 'Ac')",R,EP,0.105,0,1
"('Jc', 'Qs')",F,MP,0.195,1,0
"('Kc', 'Kh')",R,BTN,0.01,3,1
"('Ac', '4c')",F,BTN,0.17,3,0
"('Jd', 'Kc')",F,EP,0.14,0,0
"('Js', 'Jd')",F,MP,0.02,1,0
"('Ah', 'Kc')",R,MP,0.05,1,1
"('Jd', 'Qh')",F,MP,0.195,1,0
"('As', '5s')",R,SB,0.155,4,1
"('9s', 'As')",R,CO,0.085,2,1
"('7c', '7h')",R,CO,0.055,2,1
"('Ah', '7c')",F,CO,0.2,2,0
"('8s', '8c')",R,BTN,0.035,3,1
"('7s', 'Ad')",F,CO,0.2,2,0
"('Ts', 'Kd')",F,BTN,0.175,3,0
"('9s', '9h')",F,EP,0.03,0,0
"('Ad', 'Kc')",R,CO,0.05,2,1
"('Ah', 'Th')",R,MP,0.06,1,1
"('Ad', '3d')",R,SB,0.205,4,1
"('As', 'Ac')",R,CO,0.005,2,1
"('Kc', 'Ah')",F,EP,0.05,0,0
"('Tc', 'As')",F,MP,0.105,1,0
"('Td', 'Ah')",F,EP,0.105,0,0
"('8d', '8h')",F,EP,0.035,0,0
"('Tc', 'Kh')",F,EP,0.175,0,0
"('5c', '5h')",F,BTN,0.145,3,0
"('Ad', '9s')",F,BTN,0.145,3,0
"('Ts', 'Ac')",R,MP,0.105,1,1
"('Jh', 'Qs')",F,CO,0.195,2,0
"('As', '4s')",R,SB,0.17,4,1
"('Qh', 'Th')",F,EP,0.15,0,0
"('Ac', 'Qh')",F,MP,0.07,1,0
"('Tc', 'Jc')",F,MP,0.21,1,0
"('Tc', 'Kd')",F,MP,0.175,1,0
"('As', '8c')",F,EP,0.165,0,0
"('Ac', '8d')",F,EP,0.165,0,0
"('5s', 'As')",R,MP,0.155,1,1
"('Jh', 'Kc')",R,SB,0.14,4,1
"('Ts', 'Ks')",R,BTN,0.1,3,1
"('Qc', 'Kc')",R,SB,0.07,4,1
"('Ac', 'Jc')",F,CO,0.055,2,0
"('Qc', 'As')",R,MP,0.07,1,1
"('Ad', '4d')",F,MP,0.17,1,0
"('7d', '7c')",R,MP,0.055,1,1
"('Ac', 'Jh')",F,EP,0.08,0,0
"('Th', 'Tc')",F,MP,0.025,1,0
"('Kc', 'Td')",F,MP,0.175,1,0
"('Qd', 'Qh')",R,EP,0.015,0,1
"('Kc', 'Th')",F,EP,0.175,0,0
"('Th', 'As')",F,EP,0.105,0,0
"('Kd', 'Ah')",F,MP,0.05,1,0
"('9c', '9h')",R,MP,0.03,1,1
"('Js', 'Ac')",R,CO,0.08,2,1
"('As', 'Kc')",F,BTN,0.05,3,0
"('Ks', 'As')",F,EP,0.035,0,0
"('8c', '8d')",F,MP,0.035,1,0
"('5d', 'Ad')",R,CO,0.155,2,1
"('Ts', 'Kc')",F,EP,0.175,0,0
"('Qc', 'Jc')",R,MP,0.12,1,1
"('Ah', 'Ac')",F,MP,0.005,1,0
"('Th', 'Ad')",R,SB,0.105,4,1
"('Ah', '9d')",R,CO,0.145,2,1
"('Qh', 'Js')",R,SB,0.195,4,1
"('Qh', '9h')",R,SB,0.185,4,1
"('Jd', 'Kh')",R,CO,0.14,2,1
"('Ks', 'Ad')",R,BTN,0.05,3,1
"('Td', 'Ks')",F,MP,0.175,1,0
"('8s', 'Ah')",F,EP,0.165,0,0
"('Jc', 'Kd')",F,EP,0.14,0,0
"('Qs', 'Kd')",R,MP,0.115,1,1
"('8s', 'Ks')",F,EP,0.18,0,0
"('Ac', '8d')",F,MP,0.165,1,0
"('3h', 'Ah')",F,MP,0.205,1,0
"('Tc', 'Ah')",F,EP,0.105,0,0
"('Kh', 'Ks')",F,CO,0.01,2,0
"('Ah', 'Jh')",F,BTN,0.055,3,0
"('Ad', '9s')",F,MP,0.145,1,0
"('5s', 'As')",R,BTN,0.155,3,1
"('Th', 'Ac')",F,MP,0.105,1,0
"('Td', 'Tc')",F,CO,0.025,2,0
"('Ah', 'Qh')",R,EP,0.04,0,1
"('Kh', 'Ac')",F,MP,0.05,1,0
"('Ac', 'Jc')",F,MP,0.055,1,0
"('9c', 'Ad')",F,SB,0.145,4,0
"('Js', 'Kd')",R,BTN,0.14,3,1
"('Td', 'Kd')",R,MP,0.1,1,1
"('9s', 'As')",F,MP,0.085,1,0
"('9s', 'Ac')",F,EP,0.145,0,0
"('Td', 'Th')",R,CO,0.025,2,1
